,";",".","program","id",",","const","+","-","num","'","letter","array","[","]","of","integer","real","boolean","char","digits","..","epsilon","procedure","function","(",")","var","begin","end","assignop","if","then","else","for","to","do","read","write","relop","addop","mulop","not","uminus",":","=","record","while","repeat","until","$","program_struct","program_head","program_body","idlist","const_declarations","const_declaration","const_value","var_declarations","var_declaration","type","basic_type","period","subprogram_declarations","subprogram","subprogram_head","subprogram_body","formal_parameter","parameter_list","parameter","var_parameter","value_parameter","compound_statement","statement_list","statement","variable_list","variable","id_varpart","procedure_call","else_part","expression_list","expression","simple_expression","term","factor","record_type","field_declarations",
84,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,155,156,157,158,159,,,
85,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,167,168,169,170,171,,,
86,S79,,,,,,,,,,,,,,,,,,,,,,,,,,,,S178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R77,,,,,,,R77,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R71,,,,,,,S180,S181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R73,,,,,,,R73,R73,S182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R75,,,,,,,R75,R75,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,S184,,,,,,,,,,,S185,,,,,,,,,,,,S186,,,,,,,R63,,,,,,,R63,R63,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,
93,,,,S92,,,,S93,S94,S95,,,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,S97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,187,,,
